scope,group,metric,simulator,value,distance_to_vivid,criterion
condition,dark,events/s,iebcs,0.9814095384666807,0.018590461533319336,abs(ratio - 1)
condition,dark,events/pixel,dvs_voltmeter,0.5048523206256829,0.49514767937431714,abs(ratio - 1)
condition,dark,delai,pix2nvs,1.4504333343123756,0.45043333431237564,abs(ratio - 1)
condition,dark,ON ratio,pix2nvs,8.14504645468473,8.14504645468473,abs(diff_pp)
condition,dark,pixels utilises,dvs_voltmeter,-0.0017610707639614809,0.0017610707639614809,abs(diff_pp)
condition,global,events/s,pix2nvs,0.8285556112709163,0.17144438872908374,abs(ratio - 1)
condition,global,events/pixel,iebcs,0.6631789339671645,0.33682106603283546,abs(ratio - 1)
condition,global,delai,dvs_voltmeter,0.5914397149602005,0.40856028503979946,abs(ratio - 1)
condition,global,ON ratio,iebcs,6.166766398790802,6.166766398790802,abs(diff_pp)
condition,global,pixels utilises,dvs_voltmeter,0.0,0.0,abs(diff_pp)
condition,local,events/s,pix2nvs,8.481324196117198,7.481324196117198,abs(ratio - 1)
condition,local,events/pixel,pix2nvs,4.33351712863376,3.33351712863376,abs(ratio - 1)
condition,local,delai,pix2nvs,0.20502806782948096,0.7949719321705191,abs(ratio - 1)
condition,local,ON ratio,iebcs,0.6900857216074974,0.6900857216074974,abs(diff_pp)
condition,local,pixels utilises,dvs_voltmeter,0.4220679012345685,0.4220679012345685,abs(diff_pp)
condition,varying,events/s,pix2nvs,2.2855599230122596,1.2855599230122596,abs(ratio - 1)
condition,varying,events/pixel,pix2nvs,1.0979574326972934,0.0979574326972934,abs(ratio - 1)
condition,varying,delai,pix2nvs,0.7856480439460303,0.21435195605396973,abs(ratio - 1)
condition,varying,ON ratio,iebcs,11.969263790031048,11.969263790031048,abs(diff_pp)
condition,varying,pixels utilises,dvs_voltmeter,0.0,0.0,abs(diff_pp)
