scope,group,metric,simulator,value,distance_to_vivid,criterion
regime,aggressive,events/s,pix2nvs,2.7322130813903986,1.7322130813903986,abs(ratio - 1)
regime,aggressive,events/pixel,pix2nvs,1.3125963152026932,0.31259631520269315,abs(ratio - 1)
regime,aggressive,events/s/pixel,pix2nvs,1.3120454103608852,0.3120454103608852,abs(ratio - 1)
regime,aggressive,delai,dvs_voltmeter,0.7459747269561046,0.25402527304389544,abs(ratio - 1)
regime,aggressive,ON ratio,iebcs,6.305785165723111,6.305785165723111,abs(diff_pp)
regime,aggressive,pixels utilises,dvs_voltmeter,0.028331521828632116,0.028331521828632116,abs(diff_pp)
regime,robust,events/s,pix2nvs,3.7632222294904047,2.7632222294904047,abs(ratio - 1)
regime,robust,events/pixel,pix2nvs,1.8086900912597874,0.8086900912597874,abs(ratio - 1)
regime,robust,events/s/pixel,pix2nvs,1.8071498478655568,0.8071498478655568,abs(ratio - 1)
regime,robust,delai,pix2nvs,0.8939498064859408,0.1060501935140592,abs(ratio - 1)
regime,robust,ON ratio,pix2nvs,7.414939809266838,7.414939809266838,abs(diff_pp)
regime,robust,pixels utilises,dvs_voltmeter,0.26273148148148184,0.26273148148148184,abs(diff_pp)
regime,unstable,events/s,pix2nvs,3.4155587146462314,2.4155587146462314,abs(ratio - 1)
regime,unstable,events/pixel,pix2nvs,1.64319733706463,0.64319733706463,abs(ratio - 1)
regime,unstable,events/s/pixel,pix2nvs,1.6401971595455451,0.6401971595455451,abs(ratio - 1)
regime,unstable,delai,v2e,0.28184427355853303,0.718155726441467,abs(ratio - 1)
regime,unstable,ON ratio,iebcs,6.865005974839774,6.865005974839774,abs(diff_pp)
regime,unstable,pixels utilises,dvs_voltmeter,0.041666666666665776,0.041666666666665776,abs(diff_pp)
