regime,simulator,n_sequences,events_per_second,events_per_pixel,on_fraction,events_per_second_per_pixel,active_pixel_fraction,delay_inter_event_per_pixel_us,events_per_second_vs_vivid,events_per_pixel_vs_vivid,events_per_second_per_pixel_vs_vivid,delay_vs_vivid,on_fraction_diff_pp_vs_vivid,active_pixel_diff_pp_vs_vivid
aggressive,vivid,3,299827.6317722208,114.62335648148148,0.42160272201593196,6.940454439171777,0.9996759259259259,229678.34013933418,1.0,1.0,1.0,1.0,0.0,0.0
aggressive,dvs_voltmeter,3,1363761.0673081873,227.61347635986363,0.5203183363978132,15.159638364919822,0.9999592411442122,166121.51311233328,8.800857145366978,4.206720940593453,4.226289780789834,0.7459747269561046,9.871561438188117,0.028331521828632116
aggressive,iebcs,3,657105.1605193062,107.69692085371275,0.48466057367316306,7.304414856817544,1.0,542475.8545941995,4.778324316699218,2.281491228762017,2.2946155011272373,2.312818285460095,6.305785165723111,0.03240740740740877
aggressive,pix2nvs,3,406688.3096326165,67.64357492218764,0.4976768125326996,4.520768226240735,0.9563880243070995,617565.233674147,2.7322130813903986,1.3125963152026932,1.3120454103608852,2.5851303558492313,7.607409051676761,-4.328790161882645
aggressive,v2e,3,3017728.8039952195,501.48086556988284,0.5009649711144707,33.54522903507358,0.9717429968875057,55302.636044381856,20.86500586715589,10.025226569481921,10.019655996677796,0.31417514011707176,7.936224909853863,-2.7932929038420333
aggressive,vid2e,3,150922876.32850245,578.7949347858307,0.49995578631580173,1677.6664776400892,0.0441974210760338,93.89972931995739,988.421873692514,11.702453704736508,474.65345646416864,0.0005948446057656157,7.835306429986975,-95.54785048498921
robust,vivid,4,105262.17679917673,104.25218749999999,0.42180510963461015,2.4366244629439056,0.9973726851851852,1099020.4925504175,1.0,1.0,1.0,1.0,0.0,0.0
robust,dvs_voltmeter,4,706502.5502681577,312.76764951089376,0.5510156879742613,7.853518789108023,1.0,1232917.7670403356,10.315656358458973,4.946622944030633,4.953716703928719,0.7344925408618546,12.921057833965108,0.26273148148148184
robust,iebcs,4,537959.0554551103,229.53853379279678,0.5017960425300902,5.979980607549025,1.0,954132.2811339151,8.162701108845399,3.916842951845182,3.9198386827714673,0.7949982863082595,7.999093289548005,0.26273148148148184
robust,pix2nvs,4,251197.93096529905,109.22013116940863,0.49595450772727856,2.7923291570175524,0.9680218986216096,651479.2710367555,3.7632222294904047,1.8086900912597874,1.8071498478655568,0.8939498064859408,7.414939809266838,-2.9350786563575566
robust,v2e,4,1638424.6196431662,711.1327423299244,0.5032973925103313,18.212812579403803,0.9551661849710983,107072.10148818084,23.84598568695815,11.461075314046235,11.45116253531116,0.14016831675708538,8.14922828757212,-4.220650021408693
robust,vid2e,4,250230037.68115944,959.6416518452646,0.5018032106877115,2781.570005348593,0.10405180080035571,131.21641266100926,3401.44134674551,15.483732054361251,1633.4178099089154,0.00020943223761952514,7.999810105310134,-89.33208843848294
unstable,vivid,3,211303.3241076794,112.07535493827159,0.4288397239903808,4.891280650640726,0.9995833333333334,460753.3727406454,1.0,1.0,1.0,1.0,0.0,0.0
unstable,dvs_voltmeter,3,1024466.0567605221,230.41751889728766,0.5357547257671343,11.38801752735129,1.0,1373001.2464679012,10.317340826734734,4.943550804310639,4.954525608214101,2.2502560200355517,10.691500177675364,0.041666666666665776
unstable,iebcs,3,539896.1249520681,117.8873795761079,0.49748978373877845,6.001513171988307,1.0,963680.1035266804,6.19641666689899,2.969282734338156,2.9756024901071183,2.1445784206460594,6.865005974839774,0.041666666666665776
unstable,pix2nvs,3,321605.93680225307,71.67318067289166,0.49924637105283765,3.574988181439007,0.9420779605750704,630380.3934679171,3.4155587146462314,1.64319733706463,1.6401971595455451,1.7413827218737747,7.040664706245683,-5.750537275826296
unstable,v2e,3,2187488.640121686,486.43735363865426,0.5012889782671551,24.316236550930256,0.945964873277012,78423.69732767044,23.594677246923055,11.351999153741653,11.33048084778875,0.28184427355853303,7.244925427677434,-5.3618460056321355
unstable,vid2e,3,150953970.04830918,578.9141803764636,0.49997016846481984,1678.012117033228,0.05445012598191789,126.8817687436025,1497.7889058490698,13.977997361201654,719.2583451831906,0.0005555130518748381,7.113044447443907,-94.51332073514156
